KO,ENG,JPN
현곡근린공원,Hyeongok Neighborhood Park,玄谷近隣公園
현곡공원,Hyeongok Park,弦谷公園
현리성당,Hyeonri Cathedral,ヒョンリ聖堂
현진공원,Hyunjin Park,ヒョンジン公園
혜령공원,Hyeryeong Park,ヘリョン公園
호계근린공원,Hogye Neighborhood Park,虎渓近隣公園
장자호수공원,Jangja Lake Park,チャンジャ湖公園
호암근린공원,Hoam Neighborhood Park,湖岩近隣公園
호평동근린공원,Pyeongho-dong Neighborhood Park,好評洞近隣公園
홍익문화공원,Hongik Cultural Park,弘益文化公園
화랑놀이터공원,Hwarang Playground Park,花郎遊び場公園
화서공원,Hwaseo Park,華西公園
화서오거리공원,Hwaseo Five-way Intersection Park,華西五叉路公園
화성휴게소(목포방향)쉼터,Hwaseong Rest Area (Mokpo direction) Rest Area,華城サービスエリア(木浦方向)休憩所
화수공원,Hwasu Park,花水公園
화신공원,Hwasin Park,化身公園
황골공원,Hwanggol Park,ファンゴル公園
황금공원,Golden Park,黄金公園
황송근린공원,Hwangsong Neighborhood Park,黄松近隣公園
황포소공원,Hwangpo Small Park,黄浦小公園
회룡문화공원,Hoeryong Cultural Park,回龍文化公園
효성아파트공원,Hyosung Apartment Park,暁星アパート公園
효양공원,Hyoyang Park,孝陽公園
효자동쌈지공원,Hyoja-dong Ssamji Park,孝子洞サムジ公園
후곡공원,Hugok Park,後谷公園
후동공원,Fu Dong Park,不動公園
휴게공원,Resting park,休憩公園
흥덕중앙공원,Heungdeok Central Park,興徳中央公園
희망대공원,Hope Grand Park,希望台公園
희망인공습지,Hope Artificial Wetland,希望人工湿地
희망찬공원,a hopeful park,希望に満ちた公園
희성공원,Heesung Park,ヒソン公園
APEC나루공원,APEC Naru Park,APECナル公園
BMC와치공원,BMC Watch Park,BMC和知公園
UN조각공원,United Nations Sculpture Park,UN彫刻公園
가마실공원,Gamasil Park,ガマシル公園
가야성당,Gaya Cathedral,伽倻聖堂
강변둥지공원,Gangbyeon Nest Park,川辺東池公園
강변환경공원,Riverside Environmental Park,川辺環境公園
강송정공원,Gangsongjeong Park,江松亭公園
거미줄공원,spider web park,くもの巣公園
견우공원,Gyeonwoo Park,牽牛公園
곡상골공원,Goksanggol Park,谷上谷公園
과정공원,Course Park,課程公園
구기공원,a ball park,球技公園
구덕공원,Gudeok Park,九徳公園
구덕문화공원,Gudeok Cultural Park,九徳文化公園
구학공원,Guhak Park,九鶴公園
굿거리언덕공원,Gutgeori Hill Park,グッコリ丘公園
그린달님공원,Green Moon Nim Park,グリーンお月様公園
천주교금곡성당,Catholic Golden Valley Cathedral,カトリック金谷聖堂
금정공원,Geumjeong Park,金井公園
금정평안교,Geumjeong Pyeongan Bridge,金井平安橋
기비골공원,Gibigol Park,吉備谷公園
기쁜소식,good news,うれしい知らせ
꽃게공원,Blue Crab Park,ワタリガニ公園
꿈나래공원,Dream Narae Park,クムナレ公園
꿈마루공원,Dream Maru Park,クムマル公園
꿈에공원,Dream Park,夢に公園
나라공원,Nara Park,奈良公園
남산성당,Namsan Cathedral,南山聖堂
남산정공원,Namsanjeong Park,南山亭公園
널구지공원,Neolguji Park,板臼公園
노을정휴게소,Noeuljeong Rest Area,ノウルジョンサービスエリア
노적봉공원,Nojeokbong Park,露積峰公園
녹산고향동산,Noksan Hometown Garden,緑山ふるさとの園
녹음광장,a recording square,緑の広場
놀이마당공원,Amusement park,遊園地
느티나무쉼터,a zelkova shelter,ケヤキの憩いの場
천주교다대성당,Catholic polyhedrals,カトリック多大聖堂
다소미공원,Dasomi Park,田曽美公園
담안골근린공원,Damangol Neighborhood Park,ダムアンゴル近隣公園
당곡공원,Danggok Park,堂谷公園
대룡쌈지공원,Daeryong Ssamji Park,デリョンサムジ公園
대천공원,Daecheon Park,大川公園
덕내공원,Deoknae Park,徳内公園
덕천근린공원,Deokcheon Neighborhood Park,徳川近隣公園
동구래공원,Donggurae Park,東九来公園
동래성당,Dongrae Cathedral,東莱聖堂
동부근린공원 부산 기장군 기장읍,"Gijang-eup, Gijang-gun, Busan, Dongbu Neighborhood Park",東部近隣公園 釜山機張郡機張邑
동해공원,East Sea Park,東海公園
돛단배공원,a sailboat park,帆船公園
두실새싹공원,Dusil Saesak Park,トゥシルセサク公園
떡곡숲공원,Tteokgok Forest Park,餅谷森公園
명례공원,Myeongrye Park,明礼公園
명서공원,Myeongseo Park,明西公園
명장공원,Myeongjang Park,鳴蔵公園
명장소공원,Myeongjangso Park,鳴蔵小公園
명지1공원,Myeongji 1 Park,鳴旨1公園
명지성당,Myeongji Cathedral,明知聖堂
명지신도시성당,Myeongji New Town Cathedral,明知新都市聖堂
명진근린공원,Myeongjin Neighborhood Park,明進近隣公園
모라공원,Mora Park,モラ公園
모라어울림공원,Moraoulim Park,モラオウリム公園
모라틔움공원,Moratium Park,モラテウム公園
모전공원,Mojeon Park,茅田公園
무제등소공원,Muje Lighthouse Park,無提灯所公園
물너울근린공원,Mulneoul Neighborhood Park,ムルノウル近隣公園
물샘공원,Mulsaem Park,水泉公園
물소리공원,Water Sound Park,水音公園
미래공원,Future Park,未来公園
민락성당,Minrak Cathedral,民楽聖堂
바다내음공원,Ocean Smell Park,海の香り公園
반남도란공원,Namdo Park,バンナムドラン公園
반송공원,Bansong Park,盤松公園
배산공원,Baesan Park,背山公園
백두공원,Baekdu Park,白頭公園
백양가족공원,Baekyang Family Park,白羊家族公園
보듬공원,Botteum Park,ボドゥム公園
보람공원,Boram Park,ボラム公園
부산아시아드조각광장,Busan Asiad Sculpture Plaza,釜山アジアド彫刻広場
부산환경공단남부사업소공원,Busan Environmental Corporation Nambu Office Park,釜山環境公団南部事業所公園
사랑과 은혜가 풍성한,full of love and grace,愛と恩が豊かな
사상근린공원,Sasang Neighborhood Park,沙上近隣公園
사직놀이공원,Sajik Amusement Park,社稷遊園地
사직대건성당,Resignation Cathedral,社稷大建聖堂
산골공원,a mountain park,山里公園
산저공원,a mountain park,山底公園
삼덕성당,Samdeok Cathedral,三徳聖堂
새동내공원,Saedongnae Park,セドンネ公園
새소리공원,Bird Sound Park,鳥の鳴き声公園
색동공원,Saekdong Park,セクトン公園
서명공원,Signature Park,西明公園
소담공원 부산 강서구 신호동,"Sodam Park, Shinho-dong, Gangseo-gu, Busan",ソダム公園 釜山江西区新湖洞
소두방공원 부산 기장군 정관읍,"Sodubang Park, Jeonggwan-eup, Gijang-gun, Busan",ソドゥバン公園 釜山機張郡鼎冠邑
소정공원,Sojung Park,ソジョン公園
솔마루근린공원,Solmaru Neighborhood Park,ソルマル近隣公園
송도해수욕장100주년기념공원,Songdo Beach 100th Anniversary Park,松島海水浴場100周年記念公園
수림뜨락,a forest of trees,樹林トゥラク
수민어울공원,Sumin Eoul Park,スミンオウル公園
수영환경공원,Swimming Environment Park,水泳環境公園
수정근린공원,Sujeong Neighborhood Park,水晶近隣公園
숙등공원,Sukdeung Park,淑登公園
신덕공원,Sindeok Park,新徳公園
아시아드공원,Asiad Park,アジアド公園
안락꽃밭공원,An arm flower garden park,安楽花畑公園
안락꿈돌이공원,Amakgumdori Park,安楽クムドリ公園
야시곡공원,Yashigok Park,夜市谷公園
양정라이온스공원,Yangjeong Lions Park,楊亭ライオンズ公園
양지골쌈지공원,Yangjigol Ssamji Park,陽地谷サムジ公園
엄궁유수지 공원,Umgung Yusuji Park,厳宮遊水池公園
연봉공원,Yeonbong Park,連峰公園
열린공원,an open park,開かれた公園
을숙도공원,Eulsukdo Park,乙淑島公園
이기대자연마당,Igidae Nature Garden,二妓台自然広場
이바구공원,Ibagu Park,井波区公園
장림공원,Janglim Park,長林公園
장미원,a rose garden,バラ園
장밭갓공원,Jangbat God Park,チャンバッガッ公園
장안천가족휴게공원,Jangancheon Family Resting Park,長安川家族休憩公園
전포돌산공원,Jeonpo Dolsan Park,田浦突山公園
조내기고구마역사공원,"""Jongi Sweet Potato History Park""",チョネギ芋歴史公園
주례백양공원,Jurye Baekyang Park,周礼白楊公園
죽곡공원,Jukgok Park,竹谷公園
죽향공원,Jukhyang Park,竹香公園
증산공원,Jeungsan Park,甑山公園
직녀공원,Jiknyeo Park,織姫公園
창날공원,Changnal Park,チャンナル公園
창신공원,Changsin Park,昌信公園
천주교부산교구수정마을성당,Catholic Diocese of Busan Sujeong Village Cathedral,カトリック釜山教区水晶村聖堂
천주교양정성당,a Catholic church,カトリック洋正聖堂
초량성당,Choryang Cathedral,草梁聖堂
초연근린공원,Chodang Neighborhood Park,初演近隣公園
충효공원,Chunghyo Park,忠孝公園
태종대공원,Taejong Grand Park,太宗台公園
태종대성당,Taejong Cathedral,太宗大聖堂
통일무궁화공원,Unification Mugunghwa Park,統一ムグンファ公園
통일아시아드공원,Unification Asiad Park,統一アジアード公園
평화의미술정원,Art Garden of Peace,平和の美術庭園
푸른솔밭공원,Green Pine Field Park,青い松畑公園
풀소리공원,Pulsori Park,草ソリ公園
하강선대어울림공원,Descent Line Eoulim Park,下降線帯オウリム公園
함지공원,Hamji Park,咸池公園
해바람동산,a mountain of sea breeze,海風の園
화동공원,Hwadong Park,花洞公園
화명중앙공원,Hwamyeong Central Park,華明中央公園
화연공원,Hwayeon Park,花淵公園
화전공원,Hwajeon Park,花田公園
회동첨단공원,Hoedong Advanced Park,回東先端公園
100년달성뿌리광장,100 Years of Achievement Root Square,100年達成の根広場
갈뫼공원,Galmö Park,カルメ公園
갈밭소공원,Galbat Small Park,葛畑小公園
감삼공원,Gamsam Park,甘三公園
감삼소공원,Gamsamso Park,カムサムソ公園
경로어린이공원,Senior Citizens' Park,敬老子供公園
경운공원,Gyeongwoon Park,耕運公園
계골산공원,Gyegol Mountain Park,鶏骨山公園
곤충공원,Insect Park,昆虫公園
학산공원,Haksan Park,鶴山公園
평사공원,Pyeongsa Park,平沙公園
과학관공원,Science Museum Park,科学館公園
과학기술공원,Science and Technology Park,科学技術公園
구마공원,Kuma Park,球磨公園
그린웨이,Greenway,グリーンウェイ
금강예배당,the Geumgang Reservation Dividend,金剛礼拝堂
꿈터공원,Dream Site Park,クムト公園
내당공원,Naedang Park,内堂公園
달배공원,Dalbae Park,達背公園
달서공원,Dalseo Park,達西公園
당산목공원,Dangsan Wood Park,堂山木工院
대구선동촌공원,Daegu Seondongchon Park,大邱ソンドンチョン公園
대구선반야월공원,Daegu Shelf Yawol Park,大邱棚夜月公園
대구선아양공원,Daegu Sun-Ayang Park,大邱ソンアヤン公園
대구스타디움동편광장,Daegu Stadium East Plaza,大邱スタジアム東側広場
대덕성당,Daedeok Cathedral,大徳聖堂
대명공원,Daemyung Park,大明公園
대신공원,Daeshin Park,大新公園
대실근린공원,Daesil Neighborhood Park,大室近隣公園
대진공원,Daejin Park,テジン公園
도담한공원,a magnificent park,ドダムハン公園
동변공원,Dongbyeon Park,東辺公園
동서공원,East-West Park,東西公園
동천근린공원,Dongcheon Neighborhood Park,東川近隣公園
두류공원인물동산,Duryu Park Person Garden,頭流公園人物園
두산성당,Doosan Cathedral,斗山聖堂
들샘공원,Deulsaem Park,トゥルセム公園
마을마당공원,Village yard park,村のマダン公園
만유인력공원,universal gravitation park,万有引力公園
맑음소공원,Sunny Small Park,清めの小公園
매곡근린공원,Maegok Neighborhood Park,梅谷近隣公園
매천근린공원,Maecheon Neighborhood Park,梅川近隣公園
매호공원,Maeho Park,梅湖公園
매화공원,Maehwa Park,梅花公園
명덕공원,Myeongdeok Park,明徳公園
뫼비우스공원,Mobius Park,メビウス公園
반계근린공원,Bangye Neighborhood Park,盤渓近隣公園
백합공원,a lily Park,百合公園
범어공원,Beomeo Park,梵魚公園
보람소공원,Boram Small Park,ボラムソ公園
복현장미공원,Bokhyeon Rose Park,福峴バラ公園
봉덕성당,Bongdeok Cathedral,鳳徳聖堂
불로공원,Bullo Park,不老公園
